id,category
903,Crimes Against Property
904,Criminal Code Traffic
905,Crimes Against Property
906,Other Criminal Code Violations
907,Crimes Against the Person
908,Crimes Against Property
909,Crimes Against Property
910,Crimes Against the Person
911,Other Criminal Code Violations
912,Crimes Against Property
913,Crimes Against the Person
914,Criminal Code Traffic
915,Crimes Against Property
916,Crimes Against Property
917,Crimes Against the Person
918,Crimes Against the Person
919,Other Criminal Code Violations
920,Crimes Against Property
921,Crimes Against the Person
922,Crimes Against the Person
923,Other Criminal Code Violations
924,Crimes Against Property
925,Crimes Against Property
926,Crimes Against Property
927,Criminal Code Traffic
928,Crimes Against the Person
929,Crimes Against the Person
930,Other Criminal Code Violations
931,Crimes Against Property
932,Crimes Against Property
933,Crimes Against Property
934,Criminal Code Traffic
935,Crimes Against the Person
936,Crimes Against the Person
937,Other Criminal Code Violations
938,Crimes Against Property
939,Crimes Against Property
940,Crimes Against Property
941,Other Criminal Code Violations
942,Crimes Against the Person
943,Crimes Against the Person
944,Other Criminal Code Violations
945,Crimes Against Property
946,Crimes Against Property
947,Crimes Against Property
948,Other Criminal Code Violations
949,Crimes Against the Person
950,Crimes Against the Person
951,Other Criminal Code Violations
952,Crimes Against Property
953,Crimes Against Property
954,Crimes Against Property
955,Other Criminal Code Violations
956,Other Criminal Code Violations
957,Other Criminal Code Violations
958,Other Criminal Code Violations
959,Other Criminal Code Violations
960,Other Criminal Code Violations
961,Other Criminal Code Violations
962,Other Criminal Code Violations
963,Other Criminal Code Violations
964,Other Criminal Code Violations
965,Other Criminal Code Violations
966,Other Criminal Code Violations
967,Other Criminal Code Violations
968,Other Criminal Code Violations
969,Other Criminal Code Violations
970,Other Criminal Code Violations
971,Other Criminal Code Violations
972,Other Criminal Code Violations
973,Other Criminal Code Violations
974,Other Criminal Code Violations
975,Other Criminal Code Violations
976,Other Criminal Code Violations
977,Other Criminal Code Violations
978,Other Criminal Code Violations
979,Other Criminal Code Violations
980,Other Criminal Code Violations
981,Other Criminal Code Violations
982,Other Criminal Code Violations
983,Other Federal Statute Violations
984,Other Federal Statute Violations
985,Other Federal Statute Violations
986,Other Federal Statute Violations
987,Other Federal Statute Violations
988,Other Federal Statute Violations
989,Other Federal Statute Violations
990,Other Federal Statute Violations
991,Other Federal Statute Violations
992,Controlled Drugs and Substances Act
993,Controlled Drugs and Substances Act
994,Controlled Drugs and Substances Act
995,Controlled Drugs and Substances Act
996,Controlled Drugs and Substances Act
997,Controlled Drugs and Substances Act
998,Controlled Drugs and Substances Act
999,Crimes Against the Person
1000,Crimes Against Property
1001,Crimes Against the Person
1002,Crimes Against the Person
1003,Crimes Against Property
1004,Crimes Against Property
1005,Other Criminal Code Violations
1006,Crimes Against Property
1007,Crimes Against the Person
1008,Crimes Against Property
1009,Crimes Against Property
1010,Crimes Against the Person
1011,Other Criminal Code Violations
1012,Crimes Against Property
1013,Crimes Against the Person
1014,Crimes Against Property
1015,Crimes Against Property
1016,Crimes Against the Person
1017,Other Criminal Code Violations
1018,Crimes Against Property
1019,Crimes Against the Person
1020,Crimes Against Property
1021,Crimes Against Property
1022,Crimes Against the Person
1023,Other Criminal Code Violations
1024,Crimes Against Property
1025,Crimes Against the Person
1026,Crimes Against Property
1027,Crimes Against Property
1028,Crimes Against the Person
1029,Other Criminal Code Violations
1030,Crimes Against Property
1031,Crimes Against the Person
1032,Crimes Against Property
1033,Crimes Against Property
1034,Crimes Against the Person
1035,Other Criminal Code Violations
1036,Crimes Against Property
1037,Crimes Against the Person
1038,Crimes Against Property
1039,Crimes Against Property
1040,Crimes Against the Person
1041,Other Criminal Code Violations
1042,Crimes Against Property
1043,Crimes Against Property
1044,Crimes Against Property
1045,Crimes Against the Person
1046,Crimes Against the Person
1047,Crimes Against the Person
1048,Other Criminal Code Violations
1049,Crimes Against Property
1050,Crimes Against the Person
1051,Crimes Against the Person
1052,Other Criminal Code Violations
1053,Crimes Against Property
1054,Crimes Against the Person
1055,Crimes Against Property
1056,Crimes Against the Person
1057,Crimes Against the Person
1058,Other Criminal Code Violations
1059,Crimes Against Property
1060,Crimes Against the Person
1061,Crimes Against Property
1062,Crimes Against the Person
1063,Crimes Against the Person
1064,Other Criminal Code Violations
1065,Crimes Against Property
1066,Crimes Against the Person
1067,Crimes Against Property
1068,Crimes Against the Person
1069,Crimes Against the Person
1070,Other Criminal Code Violations
1071,Crimes Against Property
1072,Crimes Against the Person
1073,Crimes Against Property
1074,Crimes Against the Person
1075,Crimes Against the Person
1076,Other Criminal Code Violations
1077,Crimes Against Property
1078,Crimes Against the Person
1079,Crimes Against Property
1080,Crimes Against the Person
1081,Crimes Against the Person
1082,Crimes Against Property
1083,Crimes Against the Person
1084,Crimes Against Property
1085,Crimes Against Property
1086,Crimes Against the Person
1087,Crimes Against the Person
1088,Crimes Against the Person
1089,Crimes Against Property
1090,Crimes Against the Person
1091,Crimes Against the Person
1092,Crimes Against the Person
1093,Crimes Against Property
1094,Crimes Against Property
1095,Crimes Against the Person
1096,Crimes Against the Person
1097,Crimes Against the Person
1098,Crimes Against Property
1099,Crimes Against Property
1100,Crimes Against the Person
1101,Crimes Against the Person
1102,Crimes Against the Person
1103,Crimes Against Property
1104,Crimes Against Property
1105,Crimes Against the Person
1106,Crimes Against the Person
1107,Crimes Against the Person
1108,Crimes Against Property
1109,Crimes Against Property
1110,Crimes Against the Person
1111,Crimes Against the Person
1112,Crimes Against the Person
1113,Crimes Against Property
1114,Crimes Against Property
1115,Crimes Against the Person
1116,Crimes Against the Person
1117,Crimes Against the Person
1118,Crimes Against Property
1119,Crimes Against Property
1120,Crimes Against the Person
1121,Crimes Against the Person
1122,Crimes Against the Person
1123,Crimes Against Property
1124,Crimes Against Property
1125,Crimes Against the Person
1126,Crimes Against the Person
1127,Crimes Against Property
1128,Crimes Against Property
1129,Crimes Against the Person
1130,Crimes Against the Person
1131,Crimes Against Property
1132,Crimes Against the Person
1133,Crimes Against Property
1134,Crimes Against Property
1135,Crimes Against the Person
1136,Crimes Against the Person
